step	Recall@100
0	0.394268
1	0.3937880000000001
2	0.3926690000000012
3	0.4233300000000012
4	0.4209349999999984
5	0.42099899999999923
6	0.43227400000000005
7	0.4326829999999967
8	0.43101199999999634
9	0.42120299999999977
10	0.4198089999999984
11	0.4208360000000006
12	0.449441
13	0.4514229999999987
14	0.4508290000000008
15	0.46351499999999995
16	0.4627469999999999
17	0.463872
18	0.6515779999999917
19	0.6515409999999906
20	0.6518729999999918
21	0.455216000000002
22	0.45385699999999896
23	0.4549510000000005
24	0.46652800000000144
25	0.46690799999999827
26	0.4669839999999994
27	0.6607789999999866
28	0.6607439999999878
29	0.6607359999999878
30	0.6632689999999858
31	0.6635099999999851
32	0.6635259999999885
33	0.46858000000000055
34	0.4681240000000026
35	0.4685459999999999
