step	Recall@100
0	0.18420199999999728
1	0.18435099999999796
2	0.18507099999999826
3	0.18401899999999827
4	0.18321299999999846
5	0.2153769999999991
6	0.21549099999999813
7	0.21556699999999931
8	0.21600499999999942
9	0.21567999999999998
10	0.231442000000001
11	0.2321230000000006
12	0.23267600000000102
13	0.23241399999999982
14	0.23288599999999987
15	0.22250599999999962
16	0.22262799999999924
17	0.22313999999999878
18	0.22205600000000017
19	0.2218010000000002
20	0.25631899999999974
21	0.2564669999999995
22	0.25631099999999934
23	0.25666899999999876
24	0.2552640000000001
25	0.2748729999999999
26	0.2750019999999998
27	0.2745449999999994
28	0.2749130000000007
29	0.27502099999999935
30	0.3767900000000001
31	0.37733900000000103
32	0.37750699999999987
33	0.3772670000000009
34	0.37743600000000044
35	0.27214699999999914
36	0.2727530000000004
37	0.27306400000000036
38	0.27298300000000025
39	0.27233699999999883
40	0.2934109999999995
41	0.29309600000000074
42	0.2932459999999996
43	0.292813
44	0.29299599999999965
45	0.3977170000000017
46	0.397724000000003
47	0.3981260000000004
48	0.3976450000000009
49	0.3979160000000016
50	0.4043340000000009
51	0.40422200000000064
52	0.40439900000000134
53	0.40431400000000145
54	0.4042330000000004
55	0.2965579999999998
56	0.29670900000000017
57	0.2971850000000005
58	0.2963440000000005
59	0.29682399999999975
60	0.4069960000000018
61	0.4068390000000021
62	0.40688900000000244
63	0.4068200000000014
64	0.4066450000000022
65	0.41603300000000115
66	0.41603900000000094
67	0.4158620000000013
68	0.41591600000000034
69	0.41588700000000134
70	0.41604399999999925
71	0.4162390000000006
72	0.41625899999999993
73	0.416127000000001
74	0.41610600000000086
75	0.31277199999999894
76	0.31199899999999964
77	0.3137629999999991
78	0.3128340000000001
79	0.3138839999999986
80	0.3504180000000024
81	0.3493449999999989
82	0.34979700000000147
83	0.34960000000000085
84	0.35043800000000086
85	0.366601999999999
86	0.36651699999999826
87	0.3662749999999995
88	0.36610800000000115
89	0.3667130000000003
90	0.37411199999999956
91	0.37318400000000074
92	0.372881
93	0.37290199999999996
94	0.37292900000000057
95	0.41809600000000147
96	0.4187430000000014
97	0.4183790000000003
98	0.41872399999999943
99	0.41899000000000014
100	0.44082400000000244
101	0.4411000000000017
102	0.44146400000000113
103	0.4411950000000013
104	0.44133500000000103
105	0.5213669999999999
106	0.5214250000000032
107	0.5218480000000008
108	0.5217270000000007
109	0.521680999999998
110	0.4505070000000009
111	0.45055200000000134
112	0.45079100000000016
113	0.45064299999999974
114	0.4509440000000014
115	0.47910399999999953
116	0.4797240000000007
117	0.4795500000000001
118	0.4789399999999984
119	0.4794350000000005
120	0.5569890000000005
121	0.5569170000000018
122	0.5567040000000024
123	0.5567840000000035
124	0.5564270000000018
125	0.5784300000000017
126	0.5783400000000015
127	0.5783539999999996
128	0.5785380000000021
129	0.5786119999999996
130	0.48984800000000084
131	0.4906580000000007
132	0.4906139999999991
133	0.4909749999999994
134	0.49047199999999985
135	0.5712749999999974
136	0.5710019999999985
137	0.5711409999999982
138	0.5711439999999995
139	0.5711209999999997
140	0.5994110000000026
141	0.5993540000000009
142	0.5995570000000008
143	0.5994740000000018
144	0.5993170000000023
145	0.6076870000000003
146	0.6076879999999998
147	0.6077840000000025
148	0.6077450000000014
149	0.6078270000000014
150	0.363477
151	0.36295600000000033
